chain,merchant_id,city,product_type,product_item,order_num,quantity,transaction_time,order_status,price
Starbucks,NYC101,New York,Dessert,Brownie,1,2,2025-12-15T14:56:28.027869,COMPLETE,6.24
KFC,SF301,San Francisco,Combo,FamilyBucket,1,1,2025-12-15T14:56:28.018726,COMPLETE,19.87
Starbucks,SF102,San Francisco,Combo,FamilyBucket,3,1,2025-12-15T14:56:28.230754,COMPLETE,19.58
Burger King,ATL201,Atlanta,Dessert,Donut,2,1,2025-12-15T14:56:28.056061,COMPLETE,1.96
Burger King,DAL201,Dallas,Sandwich,QuarterPounder,1,1,2025-12-15T14:56:28.020033,COMPLETE,8.09
KFC,SEA301,Seattle,Sandwich,VeggieDelight,2,1,2025-12-15T14:56:28.138273,COMPLETE,6.18
Starbucks,BOS101,Boston,Combo,BurgerFriesDrink,1,1,2025-12-15T14:56:28.072512,COMPLETE,10.37
Chipotle,CHI401,Chicago,Sandwich,BigMac,1,2,2025-12-15T14:56:28.070381,COMPLETE,14.02
KFC,PHO301,Phoenix,Drinks,Mocha,1,1,2025-12-15T14:56:28.056985,COMPLETE,4.79
McDonalds,DAL001,Dallas,Sandwich,QuarterPounder,2,1,2025-12-15T14:56:28.069904,COMPLETE,8.11
Chipotle,ATL401,Atlanta,Dessert,IceCream,1,1,2025-12-15T14:56:28.081959,COMPLETE,3.53
Starbucks,SEA101,Seattle,Drinks,DietCoke,1,2,2025-12-15T14:56:28.049009,COMPLETE,4.9
KFC,DEN301,Denver,Sandwich,GrilledChicken,1,1,2025-12-15T14:56:28.000074,COMPLETE,7.35
KFC,NYC301,New York,Combo,ValueMealB,1,1,2025-12-15T14:56:28.040306,FAILED,9.75
Starbucks,SF101,San Francisco,Drinks,Coke,1,1,2025-12-15T14:56:28.011226,COMPLETE,2.73
KFC,HOU301,Houston,Drinks,MatchaLatte,1,1,2025-12-15T14:56:28.016483,COMPLETE,5.59
McDonalds,LA001,Los Angeles,Combo,FamilyBucket,1,1,2025-12-15T14:56:28.069163,COMPLETE,18.51
Chipotle,CHI401,Chicago,Combo,ValueMealB,2,1,2025-12-15T14:56:28.169375,COMPLETE,9.75
KFC,HOU301,Houston,Drinks,Latte,2,1,2025-12-15T14:56:28.104522,COMPLETE,4.29
KFC,SF301,San Francisco,Drinks,Coke,2,1,2025-12-15T14:56:28.051219,COMPLETE,2.54
Starbucks,NYC102,New York,Combo,ChickenCombo,2,1,2025-12-15T14:56:28.085803,FAILED,10.32
Starbucks,NYC102,New York,Drinks,DietCoke,3,1,2025-12-15T14:56:28.094637,COMPLETE,2.4
Chipotle,MIA401,Miami,Drinks,Latte,1,1,2025-12-15T14:56:28.036500,COMPLETE,4.37
KFC,CHI301,Chicago,Drinks,Coke,1,1,2025-12-15T14:56:28.074847,COMPLETE,2.65
Burger King,ATL201,Atlanta,Combo,ChickenCombo,3,1,2025-12-15T14:56:28.081018,COMPLETE,10.7
McDonalds,SF001,San Francisco,Dessert,ApplePie,3,1,2025-12-15T14:56:28.168042,COMPLETE,2.53
Chipotle,CHI401,Chicago,Sandwich,BBQBeef,3,1,2025-12-15T14:56:28.182274,COMPLETE,8.34
McDonalds,NYC004,New York,Sandwich,SpicyChicken,1,1,2025-12-15T14:56:28.032591,COMPLETE,7.5
McDonalds,MIA001,Miami,Dessert,Brownie,1,1,2025-12-15T14:56:28.036509,COMPLETE,2.99
Burger King,LA201,Los Angeles,Combo,PremiumCombo,1,1,2025-12-15T14:56:28.072132,COMPLETE,11.69
McDonalds,CHI001,Chicago,Sandwich,CrispyChicken,4,1,2025-12-15T14:56:28.243187,COMPLETE,6.99
Chipotle,PHI401,Philadelphia,Drinks,Mocha,2,1,2025-12-15T14:56:28.070423,COMPLETE,5.0
Starbucks,NYC101,New York,Dessert,Donut,2,2,2025-12-15T14:56:28.028151,COMPLETE,3.8
Starbucks,BOS101,Boston,Dessert,BlueberryMuffin,2,1,2025-12-15T14:56:28.127956,COMPLETE,2.9
KFC,DAL301,Dallas,Combo,ValueMealB,2,3,2025-12-15T14:56:28.138281,COMPLETE,27.75
Burger King,SEA201,Seattle,Dessert,VanillaSundae,1,1,2025-12-15T14:56:28.075914,COMPLETE,4.11
KFC,HOU301,Houston,Combo,ValueMealB,3,1,2025-12-15T14:56:28.181091,COMPLETE,8.58
Burger King,SEA201,Seattle,Drinks,IcedCoffee,2,1,2025-12-15T14:56:28.142476,COMPLETE,3.75
McDonalds,SF001,San Francisco,Sandwich,SpicyChicken,4,2,2025-12-15T14:56:28.198870,COMPLETE,13.35
Burger King,NYC201,New York,Combo,ValueMealB,1,1,2025-12-15T14:56:28.077924,COMPLETE,8.83
McDonalds,NYC003,New York,Sandwich,GrilledChicken,1,1,2025-12-15T14:56:28.068522,COMPLETE,7.0
Starbucks,LA101,Los Angeles,Sandwich,BLT,1,2,2025-12-15T14:56:28.031285,COMPLETE,13.64
Starbucks,SF102,San Francisco,Combo,KidsMeal,4,1,2025-12-15T14:56:28.272195,COMPLETE,6.72
Chipotle,PHI401,Philadelphia,Combo,FamilyBucket,3,1,2025-12-15T14:56:28.144215,COMPLETE,19.35
McDonalds,CHI001,Chicago,Sandwich,SpicyChicken,5,1,2025-12-15T14:56:28.288932,COMPLETE,6.88
Chipotle,DAL401,Dallas,Sandwich,SpicyChicken,1,1,2025-12-15T14:56:28.057433,COMPLETE,6.9
Chipotle,SF401,San Francisco,Combo,PremiumCombo,1,1,2025-12-15T14:56:28.085717,COMPLETE,12.62
Burger King,MIA201,Miami,Sandwich,QuarterPounder,1,1,2025-12-15T14:56:28.086951,COMPLETE,7.46
McDonalds,CHI001,Chicago,Drinks,Sprite,6,2,2025-12-15T14:56:28.302961,COMPLETE,4.84
KFC,PHO301,Phoenix,Sandwich,CrispyChicken,2,1,2025-12-15T14:56:28.151043,COMPLETE,6.76
Starbucks,DAL101,Dallas,Combo,FamilyBucket,1,1,2025-12-15T14:56:28.064032,COMPLETE,18.79
Starbucks,SF101,San Francisco,Dessert,CheesecakeSlice,2,2,2025-12-15T14:56:28.066744,COMPLETE,8.67
Chipotle,SF401,San Francisco,Drinks,MatchaLatte,2,1,2025-12-15T14:56:28.169224,FAILED,5.59
Starbucks,SF102,San Francisco,Drinks,IcedCoffee,5,1,2025-12-15T14:56:28.345714,COMPLETE,4.07
McDonalds,NYC001,New York,Drinks,Milkshake,1,1,2025-12-15T14:56:28.019536,COMPLETE,4.74
Burger King,MIA201,Miami,Dessert,Donut,2,1,2025-12-15T14:56:28.143284,COMPLETE,2.01
McDonalds,LA001,Los Angeles,Combo,BurgerFriesDrink,2,1,2025-12-15T14:56:28.074392,COMPLETE,11.44
Chipotle,MIA401,Miami,Sandwich,CrispyChicken,2,1,2025-12-15T14:56:28.082857,COMPLETE,6.83
KFC,DEN301,Denver,Dessert,Donut,2,1,2025-12-15T14:56:28.098309,COMPLETE,2.14
McDonalds,SEA001,Seattle,Dessert,VanillaSundae,1,2,2025-12-15T14:56:28.023206,COMPLETE,7.31
Chipotle,DAL401,Dallas,Sandwich,VeggieDelight,2,1,2025-12-15T14:56:28.111397,COMPLETE,6.48
Chipotle,LA401,Los Angeles,Sandwich,BigMac,1,1,2025-12-15T14:56:28.020866,COMPLETE,7.16
Chipotle,NYC401,New York,Drinks,Sprite,1,1,2025-12-15T14:56:28.061694,COMPLETE,2.39
Starbucks,NYC102,New York,Drinks,ColdBrew,4,1,2025-12-15T14:56:28.124468,COMPLETE,4.76
Starbucks,NYC102,New York,Drinks,IcedCoffee,5,1,2025-12-15T14:56:28.133567,COMPLETE,3.85
Chipotle,ATL401,Atlanta,Combo,ChickenCombo,2,1,2025-12-15T14:56:28.171024,COMPLETE,10.25
Chipotle,SEA401,Seattle,Sandwich,BLT,1,1,2025-12-15T14:56:28.034237,COMPLETE,6.24
McDonalds,MIA001,Miami,Sandwich,VeggieDelight,2,1,2025-12-15T14:56:28.114702,COMPLETE,5.69
Burger King,CHI202,Chicago,Sandwich,BBQBeef,2,1,2025-12-15T14:56:28.087959,COMPLETE,7.72
McDonalds,CHI001,Chicago,Dessert,VanillaSundae,7,1,2025-12-15T14:56:28.395862,COMPLETE,3.71
Burger King,CHI202,Chicago,Drinks,OrangeJuice,3,1,2025-12-15T14:56:28.182256,COMPLETE,3.35
Chipotle,BOS401,Boston,Sandwich,VeggieDelight,1,1,2025-12-15T14:56:28.009171,COMPLETE,5.98
Chipotle,BOS401,Boston,Combo,KidsMeal,2,1,2025-12-15T14:56:28.025505,COMPLETE,6.73
KFC,MIA301,Miami,Dessert,CheesecakeSlice,1,2,2025-12-15T14:56:28.042753,COMPLETE,9.45
Burger King,NYC201,New York,Combo,DoubleChickenCombo,2,1,2025-12-15T14:56:28.165077,COMPLETE,11.99
Chipotle,BOS401,Boston,Sandwich,VeggieDelight,3,1,2025-12-15T14:56:28.100098,COMPLETE,5.81
Starbucks,SEA101,Seattle,Drinks,IcedCoffee,2,1,2025-12-15T14:56:28.076558,COMPLETE,3.83
Burger King,CHI202,Chicago,Sandwich,CrispyChicken,4,1,2025-12-15T14:56:28.240161,COMPLETE,6.49
Burger King,CHI202,Chicago,Combo,ValueMealA,5,1,2025-12-15T14:56:28.336624,COMPLETE,9.09
McDonalds,DAL001,Dallas,Combo,PremiumCombo,3,1,2025-12-15T14:56:28.151071,COMPLETE,12.07
Starbucks,DAL101,Dallas,Sandwich,TurkeyClub,2,1,2025-12-15T14:56:28.104719,COMPLETE,6.75
Starbucks,NYC102,New York,Combo,ChickenCombo,6,2,2025-12-15T14:56:28.195844,COMPLETE,19.12
KFC,LA301,Los Angeles,Drinks,DietCoke,1,2,2025-12-15T14:56:28.082544,COMPLETE,5.06
Burger King,ATL201,Atlanta,Drinks,MatchaLatte,4,1,2025-12-15T14:56:28.112997,COMPLETE,5.38
KFC,SF301,San Francisco,Combo,KidsMeal,3,1,2025-12-15T14:56:29.013970,COMPLETE,7.28
KFC,DEN301,Denver,Dessert,CheesecakeSlice,3,1,2025-12-15T14:56:29.067889,COMPLETE,4.92
Burger King,LA201,Los Angeles,Dessert,Cookie,2,1,2025-12-15T14:56:29.059829,COMPLETE,1.89
McDonalds,LA001,Los Angeles,Dessert,ApplePie,3,2,2025-12-15T14:56:29.078047,COMPLETE,5.49
Starbucks,LA101,Los Angeles,Sandwich,BBQBeef,2,3,2025-12-15T14:56:29.094276,COMPLETE,23.76
Chipotle,DAL401,Dallas,Combo,ValueMealB,3,1,2025-12-15T14:56:29.020861,COMPLETE,9.24
KFC,PHO301,Phoenix,Sandwich,QuarterPounder,3,2,2025-12-15T14:56:29.083579,COMPLETE,15.94
Starbucks,CHI101,Chicago,Sandwich,BLT,1,1,2025-12-15T14:56:29.035992,COMPLETE,6.73
Burger King,CHI202,Chicago,Combo,ChickenCombo,6,1,2025-12-15T14:56:29.041904,COMPLETE,9.9
Chipotle,DAL401,Dallas,Combo,HealthyCombo,4,1,2025-12-15T14:56:29.111818,COMPLETE,10.09
McDonalds,SEA001,Seattle,Dessert,Brownie,2,1,2025-12-15T14:56:29.071121,COMPLETE,2.98
Burger King,LA201,Los Angeles,Dessert,CheesecakeSlice,3,1,2025-12-15T14:56:29.136385,COMPLETE,4.56
Chipotle,BOS401,Boston,Drinks,Mocha,4,1,2025-12-15T14:56:29.049857,COMPLETE,5.27
Burger King,SEA201,Seattle,Drinks,IcedCoffee,3,1,2025-12-15T14:56:29.054921,COMPLETE,4.09
Burger King,MIA201,Miami,Combo,FamilyBucket,3,1,2025-12-15T14:56:29.028906,COMPLETE,19.76
Burger King,SEA201,Seattle,Dessert,BlueberryMuffin,4,1,2025-12-15T14:56:29.098978,COMPLETE,2.72
KFC,CHI301,Chicago,Sandwich,BBQBeef,2,1,2025-12-15T14:56:29.061261,COMPLETE,7.41
Chipotle,PHI401,Philadelphia,Sandwich,QuarterPounder,4,1,2025-12-15T14:56:29.051645,COMPLETE,7.16
KFC,NYC301,New York,Drinks,Sprite,2,1,2025-12-15T14:56:29.017786,FAILED,2.62
Chipotle,CHI401,Chicago,Drinks,ColdBrew,4,1,2025-12-15T14:56:29.027742,COMPLETE,4.78
Burger King,LA201,Los Angeles,Drinks,DietCoke,4,1,2025-12-15T14:56:29.234952,COMPLETE,2.52
Chipotle,BOS401,Boston,Combo,HealthyCombo,5,2,2025-12-15T14:56:29.052397,COMPLETE,19.73
KFC,PHO301,Phoenix,Drinks,Latte,4,1,2025-12-15T14:56:29.168794,COMPLETE,4.26
McDonalds,NYC004,New York,Combo,ChickenCombo,2,1,2025-12-15T14:56:29.032411,COMPLETE,10.62
Starbucks,NYC101,New York,Sandwich,ChipotleChicken,3,2,2025-12-15T14:56:29.062070,COMPLETE,14.0
KFC,CHI301,Chicago,Drinks,DietCoke,3,1,2025-12-15T14:56:29.094847,COMPLETE,2.55
KFC,DEN301,Denver,Drinks,Coke,4,1,2025-12-15T14:56:29.162045,COMPLETE,2.74
McDonalds,CHI001,Chicago,Dessert,CheesecakeSlice,8,1,2025-12-15T14:56:29.075849,COMPLETE,4.48
McDonalds,NYC002,New York,Drinks,Sprite,2,2,2025-12-15T14:56:29.049192,COMPLETE,5.43
Burger King,NYC201,New York,Drinks,Sprite,3,2,2025-12-15T14:56:29.082213,COMPLETE,5.19
Starbucks,SF101,San Francisco,Drinks,Mocha,3,1,2025-12-15T14:56:29.078697,COMPLETE,5.33
Chipotle,LA401,Los Angeles,Sandwich,BBQBeef,2,1,2025-12-15T14:56:29.045508,COMPLETE,8.11
Burger King,MIA201,Miami,Drinks,DietCoke,4,1,2025-12-15T14:56:29.073631,COMPLETE,2.56
McDonalds,NYC001,New York,Combo,ValueMealA,2,2,2025-12-15T14:56:29.047472,COMPLETE,16.42
KFC,SEA301,Seattle,Combo,BurgerFriesDrink,3,2,2025-12-15T14:56:29.023086,COMPLETE,20.43
KFC,HOU301,Houston,Combo,FamilyBucket,4,1,2025-12-15T14:56:29.070539,COMPLETE,19.79
KFC,DEN301,Denver,Combo,ValueMealB,5,1,2025-12-15T14:56:29.197224,COMPLETE,9.48
Starbucks,LA101,Los Angeles,Combo,ChickenCombo,3,2,2025-12-15T14:56:29.153363,COMPLETE,19.24
Starbucks,SF101,San Francisco,Drinks,Milkshake,4,1,2025-12-15T14:56:29.122789,COMPLETE,4.73
McDonalds,NYC002,New York,Drinks,MatchaLatte,3,1,2025-12-15T14:56:29.095699,COMPLETE,5.37
Chipotle,NYC401,New York,Dessert,ApplePie,2,1,2025-12-15T14:56:29.036211,COMPLETE,2.6
Burger King,PHI201,Philadelphia,Drinks,MatchaLatte,2,1,2025-12-15T14:56:29.094381,COMPLETE,5.05
Burger King,NYC201,New York,Dessert,Brownie,4,1,2025-12-15T14:56:29.166872,COMPLETE,3.11
KFC,MIA301,Miami,Drinks,Mocha,2,1,2025-12-15T14:56:29.029045,COMPLETE,4.77
Burger King,NYC201,New York,Combo,HealthyCombo,5,1,2025-12-15T14:56:29.228903,COMPLETE,10.63
Burger King,PHI201,Philadelphia,Drinks,OrangeJuice,3,1,2025-12-15T14:56:29.137738,COMPLETE,3.45
Starbucks,MIA101,Miami,Sandwich,CrispyChicken,1,1,2025-12-15T14:56:29.015814,COMPLETE,6.42
KFC,MIA301,Miami,Dessert,Donut,3,1,2025-12-15T14:56:29.128946,COMPLETE,2.01
KFC,DAL301,Dallas,Drinks,OrangeJuice,3,1,2025-12-15T14:56:29.094972,COMPLETE,3.32
KFC,NYC301,New York,Sandwich,BLT,3,3,2025-12-15T14:56:29.030962,COMPLETE,19.2
Chipotle,SF401,San Francisco,Combo,ValueMealA,3,1,2025-12-15T14:56:29.001854,COMPLETE,8.3
KFC,MIA301,Miami,Drinks,Coke,4,1,2025-12-15T14:56:29.201475,COMPLETE,2.74
Starbucks,CHI101,Chicago,Dessert,ChocolateChipCookie,2,1,2025-12-15T14:56:29.100332,COMPLETE,2.11
McDonalds,CHI001,Chicago,Drinks,Coke,9,2,2025-12-15T14:56:29.133582,COMPLETE,5.1
Starbucks,DAL101,Dallas,Drinks,Mocha,3,1,2025-12-15T14:56:29.062616,COMPLETE,5.4
McDonalds,CHI001,Chicago,Dessert,ApplePie,10,2,2025-12-15T14:56:29.216084,COMPLETE,4.81
KFC,DAL301,Dallas,Sandwich,VeggieDelight,4,1,2025-12-15T14:56:29.134796,COMPLETE,6.15
McDonalds,SF001,San Francisco,Drinks,Latte,5,4,2025-12-15T14:56:29.079471,COMPLETE,18.1
KFC,NYC301,New York,Combo,ChickenCombo,4,1,2025-12-15T14:56:29.090011,COMPLETE,10.27
Chipotle,MIA401,Miami,Combo,ChickenCombo,3,1,2025-12-15T14:56:29.040026,COMPLETE,10.97
Burger King,ATL201,Atlanta,Sandwich,SpicyChicken,5,1,2025-12-15T14:56:29.099973,COMPLETE,7.37
Starbucks,NYC101,New York,Combo,ValueMealA,4,1,2025-12-15T14:56:29.093509,COMPLETE,8.18
McDonalds,DAL001,Dallas,Dessert,ChocolateSundae,4,1,2025-12-15T14:56:29.090357,COMPLETE,3.99
KFC,NYC301,New York,Drinks,IcedCoffee,5,1,2025-12-15T14:56:29.127067,COMPLETE,3.82
KFC,DAL301,Dallas,Dessert,BlueberryMuffin,5,2,2025-12-15T14:56:29.169471,COMPLETE,5.61
Chipotle,NYC401,New York,Drinks,OrangeJuice,3,1,2025-12-15T14:56:29.062139,COMPLETE,3.48
Burger King,CHI201,Chicago,Dessert,IceCream,1,1,2025-12-15T14:56:29.034816,COMPLETE,3.16
Chipotle,SF401,San Francisco,Drinks,Sprite,4,1,2025-12-15T14:56:29.079847,COMPLETE,2.67
KFC,PHO301,Phoenix,Drinks,OrangeJuice,5,2,2025-12-15T14:56:29.230227,COMPLETE,6.6
KFC,DAL301,Dallas,Dessert,ApplePie,6,1,2025-12-15T14:56:30.057377,COMPLETE,2.58
McDonalds,SF001,San Francisco,Sandwich,SpicyChicken,6,1,2025-12-15T14:56:30.079129,COMPLETE,7.37
Starbucks,SF101,San Francisco,Dessert,Brownie,5,1,2025-12-15T14:56:30.075392,COMPLETE,3.1
KFC,NYC301,New York,Sandwich,BigMac,6,3,2025-12-15T14:56:30.035325,COMPLETE,22.86
Burger King,ATL201,Atlanta,Combo,ChickenCombo,6,1,2025-12-15T14:56:30.085394,COMPLETE,10.2
Burger King,CHI202,Chicago,Combo,ValueMealA,7,2,2025-12-15T14:56:30.083202,COMPLETE,17.64
Chipotle,LA401,Los Angeles,Combo,PremiumCombo,3,1,2025-12-15T14:56:30.043687,COMPLETE,11.53
Starbucks,LA101,Los Angeles,Drinks,Mocha,4,1,2025-12-15T14:56:30.090921,COMPLETE,4.95
Burger King,SF201,San Francisco,Drinks,Latte,1,1,2025-12-15T14:56:30.072102,COMPLETE,4.56
McDonalds,NYC002,New York,Dessert,ChocolateSundae,4,1,2025-12-15T14:56:30.052976,COMPLETE,3.94
Chipotle,CHI401,Chicago,Drinks,DietCoke,5,1,2025-12-15T14:56:30.071118,COMPLETE,2.62
Burger King,LA201,Los Angeles,Combo,ValueMealB,5,1,2025-12-15T14:56:30.099148,COMPLETE,8.99
Burger King,SF201,San Francisco,Combo,ChickenCombo,2,1,2025-12-15T14:56:30.144089,COMPLETE,9.8
McDonalds,LA001,Los Angeles,Combo,HealthyCombo,4,2,2025-12-15T14:56:30.015915,COMPLETE,21.62
McDonalds,NYC002,New York,Drinks,Milkshake,5,3,2025-12-15T14:56:30.073734,COMPLETE,13.31
Starbucks,SEA101,Seattle,Dessert,VanillaSundae,3,1,2025-12-15T14:56:30.014871,COMPLETE,3.61
Burger King,LA201,Los Angeles,Combo,ValueMealA,6,2,2025-12-15T14:56:30.193074,COMPLETE,16.54
Starbucks,CHI101,Chicago,Dessert,Donut,3,1,2025-12-15T14:56:30.061894,COMPLETE,2.1
Starbucks,SF101,San Francisco,Drinks,Milkshake,6,1,2025-12-15T14:56:30.153953,COMPLETE,4.4
Burger King,DAL201,Dallas,Sandwich,CrispyChicken,2,1,2025-12-15T14:56:30.054387,COMPLETE,6.24
Starbucks,DAL101,Dallas,Drinks,IcedCoffee,4,2,2025-12-15T14:56:30.037072,COMPLETE,8.26
KFC,HOU301,Houston,Sandwich,TurkeyClub,5,1,2025-12-15T14:56:30.064178,COMPLETE,7.53
Chipotle,CHI401,Chicago,Drinks,Sprite,6,1,2025-12-15T14:56:30.143458,COMPLETE,2.5
KFC,DEN301,Denver,Sandwich,BigMac,6,1,2025-12-15T14:56:30.024727,COMPLETE,7.24
KFC,DAL301,Dallas,Combo,HealthyCombo,7,1,2025-12-15T14:56:30.111218,COMPLETE,11.05
McDonalds,NYC003,New York,Sandwich,BBQBeef,2,1,2025-12-15T14:56:30.049968,COMPLETE,8.26
Starbucks,BOS101,Boston,Dessert,IceCream,3,3,2025-12-15T14:56:30.019936,COMPLETE,10.22
Burger King,SF201,San Francisco,Drinks,Latte,3,3,2025-12-15T14:56:30.187604,COMPLETE,13.96
Chipotle,CHI401,Chicago,Combo,BurgerFriesDrink,7,1,2025-12-15T14:56:30.203348,COMPLETE,10.13
McDonalds,NYC001,New York,Dessert,Cookie,3,1,2025-12-15T14:56:30.020232,COMPLETE,1.83
McDonalds,NYC004,New York,Dessert,ApplePie,3,1,2025-12-15T14:56:30.090794,COMPLETE,2.5
Burger King,NYC201,New York,Drinks,Latte,6,1,2025-12-15T14:56:30.069942,COMPLETE,4.58
Starbucks,BOS101,Boston,Drinks,MatchaLatte,4,3,2025-12-15T14:56:30.083892,COMPLETE,17.06
Chipotle,CHI401,Chicago,Combo,ValueMealB,8,1,2025-12-15T14:56:30.293053,COMPLETE,8.82
Chipotle,PHI401,Philadelphia,Sandwich,TurkeyClub,5,1,2025-12-15T14:56:30.012903,COMPLETE,6.6
KFC,PHO301,Phoenix,Dessert,Donut,6,1,2025-12-15T14:56:30.090964,COMPLETE,1.98
Starbucks,SEA101,Seattle,Drinks,OrangeJuice,4,2,2025-12-15T14:56:30.053323,COMPLETE,6.95
Starbucks,MIA101,Miami,Drinks,Latte,2,1,2025-12-15T14:56:30.074177,COMPLETE,4.38
KFC,CHI301,Chicago,Dessert,VanillaSundae,4,1,2025-12-15T14:56:30.050140,COMPLETE,3.61
KFC,LA301,Los Angeles,Combo,SnackCombo,2,1,2025-12-15T14:56:30.030433,COMPLETE,7.52
Burger King,LA201,Los Angeles,Combo,DoubleChickenCombo,7,1,2025-12-15T14:56:30.254055,COMPLETE,12.86
Chipotle,MIA401,Miami,Sandwich,VeggieDelight,4,1,2025-12-15T14:56:30.045293,COMPLETE,5.72
KFC,NYC301,New York,Sandwich,QuarterPounder,7,1,2025-12-15T14:56:30.095203,COMPLETE,7.9
Chipotle,SEA401,Seattle,Drinks,DietCoke,2,1,2025-12-15T14:56:30.013979,COMPLETE,2.7
Starbucks,SF101,San Francisco,Sandwich,VeggieDelight,7,1,2025-12-15T14:56:30.245608,COMPLETE,5.92
Starbucks,SEA101,Seattle,Sandwich,SpicyChicken,5,1,2025-12-15T14:56:30.054384,COMPLETE,7.02
Burger King,PHI201,Philadelphia,Dessert,BlueberryMuffin,4,2,2025-12-15T14:56:30.079482,COMPLETE,6.25
KFC,PHO301,Phoenix,Sandwich,TurkeyClub,7,1,2025-12-15T14:56:30.121126,COMPLETE,6.8
KFC,LA301,Los Angeles,Sandwich,QuarterPounder,3,2,2025-12-15T14:56:30.063283,COMPLETE,14.68
KFC,CHI301,Chicago,Combo,HealthyCombo,5,1,2025-12-15T14:56:30.068067,COMPLETE,10.78
KFC,SEA301,Seattle,Sandwich,TurkeyClub,4,1,2025-12-15T14:56:30.057779,COMPLETE,6.55
McDonalds,NYC002,New York,Combo,HealthyCombo,6,1,2025-12-15T14:56:30.112414,COMPLETE,9.88
Starbucks,LA101,Los Angeles,Combo,SnackCombo,5,1,2025-12-15T14:56:30.161622,COMPLETE,7.03
Chipotle,CHI401,Chicago,Dessert,CheesecakeSlice,9,3,2025-12-15T14:56:30.314620,COMPLETE,14.67
Starbucks,SF102,San Francisco,Sandwich,TurkeyClub,6,2,2025-12-15T14:56:30.038684,COMPLETE,15.0
KFC,PHO301,Phoenix,Sandwich,ChipotleChicken,8,2,2025-12-15T14:56:30.130995,COMPLETE,14.49
McDonalds,SEA001,Seattle,Sandwich,ChipotleChicken,3,1,2025-12-15T14:56:30.088395,COMPLETE,7.47
Burger King,NYC201,New York,Drinks,OrangeJuice,7,3,2025-12-15T14:56:30.121659,COMPLETE,9.8
McDonalds,NYC001,New York,Combo,HealthyCombo,4,1,2025-12-15T14:56:30.118406,COMPLETE,10.3
KFC,CHI301,Chicago,Drinks,IcedCoffee,6,1,2025-12-15T14:56:30.116756,COMPLETE,4.03
McDonalds,CHI001,Chicago,Combo,BurgerFriesDrink,11,1,2025-12-15T14:56:30.073584,COMPLETE,10.95
Starbucks,LA101,Los Angeles,Dessert,Cookie,6,2,2025-12-15T14:56:30.222474,COMPLETE,3.36
Chipotle,MIA401,Miami,Combo,FamilyBucket,5,1,2025-12-15T14:56:30.051236,COMPLETE,18.37
Chipotle,BOS401,Boston,Drinks,Mocha,6,1,2025-12-15T14:56:30.030775,COMPLETE,4.79
Chipotle,DAL401,Dallas,Drinks,Mocha,5,1,2025-12-15T14:56:30.097404,COMPLETE,4.98
KFC,DAL301,Dallas,Combo,ValueMealB,8,2,2025-12-15T14:56:30.131471,COMPLETE,19.0
Chipotle,DAL401,Dallas,Drinks,OrangeJuice,6,1,2025-12-15T14:56:30.150896,COMPLETE,3.33
Chipotle,BOS401,Boston,Sandwich,QuarterPounder,7,3,2025-12-15T14:56:30.088890,COMPLETE,22.63
Burger King,CHI202,Chicago,Dessert,IceCream,8,3,2025-12-15T14:56:30.173075,COMPLETE,9.41
Starbucks,MIA101,Miami,Dessert,Brownie,3,1,2025-12-15T14:56:30.126361,COMPLETE,2.96
